Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users query,Prop POIs,Total.POIs,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-NCA,N/A,Melbourne,239,1,False,42,3,10,N/A,3,63.15671933685117,0.5174094225797384,0.028078515135375664,5.0,5.0,0,5.169766833211725,1.0,4.0,1.58231826972173
VST-CA,mixed,Melbourne,239,1,False,42,3,10,N/A,3,63.15671933685117,0.5174094225797384,0.028078515135375664,5.0,5.0,2,4.892360054333267,1.0,4.0,1.58231826972173
VST-CA,pure,Melbourne,239,1,False,42,3,10,N/A,3,63.15671933685117,0.5174094225797384,0.028078515135375664,5.0,5.0,2,6.014627054326638,1.0,4.0,1.58231826972173
VST-NCA,N/A,Melbourne,243,1,False,43,1,10,N/A,1,1.2859293070985771,0.1761633930633414,0.009281500117356675,2.0,3.0,0,0.6184207565693214,1.0,4.0,0.8360943816965672
VST-CA,mixed,Melbourne,243,1,False,43,1,10,N/A,1,1.2859293070985771,0.1761633930633414,0.009281500117356675,2.0,3.0,2,1.7679250891444553,1.0,4.0,0.8360943816965672
VST-CA,pure,Melbourne,243,1,False,43,1,10,N/A,1,1.2859293070985771,0.1761633930633414,0.009281500117356675,2.0,3.0,2,1.8697523458986325,1.0,4.0,0.8360943816965672
VST-NCA,N/A,Melbourne,172,1,False,44,3,10,N/A,3,43.813730184394245,0.7733077910675668,0.031602002040599514,3.0,5.0,0,3.9858032228153206,1.0,4.0,1.8994982071103157
VST-CA,mixed,Melbourne,172,1,False,44,3,10,N/A,3,43.813730184394245,0.7733077910675668,0.031602002040599514,3.0,5.0,2,4.963724478940094,1.0,4.0,1.8994982071103157
VST-CA,pure,Melbourne,172,1,False,44,3,10,N/A,3,43.813730184394245,0.7733077910675668,0.031602002040599514,3.0,5.0,2,5.323018524417876,1.0,4.0,1.8994982071103157
VST-NCA,N/A,Melbourne,362,2,False,45,4,10,N/A,7,2.1073231109384625,0.1877049219010448,0.006606809909573884,1.0,2.0,0,4.130312787797266,1.0,4.0,1.484856750140571
VST-CA,mixed,Melbourne,362,2,False,45,4,10,N/A,7,2.1073231109384625,0.1877049219010448,0.006606809909573884,1.0,2.0,2,5.619190123679118,1.0,4.0,1.484856750140571
VST-CA,pure,Melbourne,362,2,False,45,4,10,N/A,7,2.1073231109384625,0.1877049219010448,0.006606809909573884,1.0,2.0,2,7.136024815543351,1.0,4.0,1.484856750140571
VST-NCA,N/A,Melbourne,136,1,False,46,1,10,N/A,1,2.52750462527391,0.3232282534303299,0.03716438078898637,3.0,3.0,0,0.5713346210068266,1.0,4.0,1.2334674913022368
VST-CA,mixed,Melbourne,136,1,False,46,1,10,N/A,1,2.52750462527391,0.3232282534303299,0.03716438078898637,3.0,3.0,2,1.6310784047848301,1.0,4.0,1.2334674913022368
VST-CA,pure,Melbourne,136,1,False,46,1,10,N/A,1,2.52750462527391,0.3232282534303299,0.03716438078898637,3.0,3.0,2,1.4824894966982356,1.0,4.0,1.2334674913022368
VST-NCA,N/A,Melbourne,235,2,False,47,5,10,N/A,6,21.954347919282633,0.3858274550695653,0.017733536049026413,3.5,4.0,0,3.9386815597822533,1.0,4.0,1.9790803604136027
VST-CA,mixed,Melbourne,235,2,False,47,5,10,N/A,6,21.954347919282633,0.3858274550695653,0.017733536049026413,3.5,4.0,2,5.424051939582796,1.0,4.0,1.9790803604136027
VST-CA,pure,Melbourne,235,2,False,47,5,10,N/A,6,21.954347919282633,0.3858274550695653,0.017733536049026413,3.5,4.0,2,6.001409651076756,1.0,4.0,1.9790803604136027
VST-NCA,N/A,Melbourne,365,3,False,48,7,10,N/A,14,11.924078287981276,0.2562282505450508,0.00651465040850229,1.3333333333333333,3.6666666666666665,0,7.842577383764819,1.0,4.0,2.0737411665793632
VST-CA,mixed,Melbourne,365,3,False,48,7,10,N/A,14,11.924078287981276,0.2562282505450508,0.00651465040850229,1.3333333333333333,3.6666666666666665,2,17.808092841964708,1.0,4.0,2.0737411665793632
VST-CA,pure,Melbourne,365,3,False,48,7,10,N/A,14,11.924078287981276,0.2562282505450508,0.00651465040850229,1.3333333333333333,3.6666666666666665,2,21.23204727837856,1.0,4.0,2.0737411665793632
