Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-CA,mixed,Melbourne,229,1,False,32,1,10,N/A,1,5.157483182539368,0.17385415686919753,0.012613511184743971,3.0,3.0,2,1.6882081562387157,1.0,4.0,0.8834824920027304
VST-CA,pure,Melbourne,229,1,False,32,1,10,N/A,1,5.157483182539368,0.17385415686919753,0.012613511184743971,3.0,3.0,2,1.6102379906294573,1.0,4.0,0.8834824920027304
VST-NCA,N/A,Melbourne,86,1,False,33,1,10,N/A,1,1.8824786497618415,0.4063832755512441,0.08857425098513785,1.0,3.0,0,0.22240393865433816,1.0,4.0,1.2296218401205743
VST-CA,mixed,Melbourne,86,1,False,33,1,10,N/A,1,1.8824786497618415,0.4063832755512441,0.08857425098513785,1.0,3.0,2,0.5578807627036895,1.0,4.0,1.2296218401205743
VST-CA,pure,Melbourne,86,1,False,33,1,10,N/A,1,1.8824786497618415,0.4063832755512441,0.08857425098513785,1.0,3.0,2,0.4941843504651615,1.0,4.0,1.2296218401205743
VST-NCA,N/A,Melbourne,438,2,False,34,3,10,N/A,4,16.404602040529632,0.2635592295171046,0.019896482497720427,3.0,3.0,0,8.694619285653062,1.0,4.0,1.40571375458032
VST-CA,mixed,Melbourne,438,2,False,34,3,10,N/A,4,16.404602040529632,0.2635592295171046,0.019896482497720427,3.0,3.0,2,15.388869480363383,1.0,4.0,1.40571375458032
VST-CA,pure,Melbourne,438,2,False,34,3,10,N/A,4,16.404602040529632,0.2635592295171046,0.019896482497720427,3.0,3.0,2,15.910341296618412,1.0,4.0,1.40571375458032
VST-NCA,N/A,Melbourne,191,2,False,35,2,10,N/A,4,0.8966105581960662,0.2567268343555352,0.011336712931054066,1.0,2.0,0,3.722218998433277,1.0,4.0,1.5162390998351145
VST-CA,mixed,Melbourne,191,2,False,35,2,10,N/A,4,0.8966105581960662,0.2567268343555352,0.011336712931054066,1.0,2.0,2,4.204535594775166,1.0,4.0,1.5162390998351145
VST-CA,pure,Melbourne,191,2,False,35,2,10,N/A,4,0.8508543031496308,0.2632043559529097,0.011336712931054066,1.0,2.0,3,5.950117457764804,1.0,4.0,1.5635416509369109
VST-NCA,N/A,Melbourne,249,2,False,36,3,10,N/A,3,8.825315804911614,0.36796655233428255,0.01448954681734065,1.5,3.5,0,5.878412758940954,1.0,4.0,1.8247717500219756
VST-CA,mixed,Melbourne,249,2,False,36,3,10,N/A,3,8.825315804911614,0.36796655233428255,0.01448954681734065,1.5,3.5,2,7.7520656263434375,1.0,4.0,1.8247717500219756
VST-CA,pure,Melbourne,249,2,False,36,3,10,N/A,3,8.825315804911614,0.36796655233428255,0.01448954681734065,1.5,3.5,2,7.220730594796919,1.0,4.0,1.8247717500219756
VST-NCA,N/A,Melbourne,1296,7,False,37,10,10,N/A,132,1.3088150088710457,0.05632498230884227,0.0007649177797504566,0.42857142857142855,0.5714285714285714,0,11.374169397347487,1.0,4.0,1.2163105804826702
VST-CA,mixed,Melbourne,1296,7,False,37,10,10,N/A,132,1.3088150088710457,0.05632498230884227,0.0007649177797504566,0.42857142857142855,0.5714285714285714,2,16.414865719978025,1.0,4.0,1.2163105804826702
VST-CA,pure,Melbourne,1296,7,False,37,10,10,N/A,132,1.2999880040013845,0.05603108175534982,0.0007308937444364288,0.2857142857142857,0.5714285714285714,4,31.9717568452553,1.0,4.0,1.2128817928613822
VST-NCA,N/A,Melbourne,353,2,False,38,2,10,N/A,2,0.7185737524337061,0.1439388040699632,0.005522174062040937,1.0,1.5,0,6.354236512686612,1.0,4.0,1.1510599365916918
VST-CA,mixed,Melbourne,353,2,False,38,2,10,N/A,2,0.7185737524337061,0.1439388040699632,0.005522174062040937,1.0,1.5,2,6.184062692563771,1.0,4.0,1.1510599365916918
VST-CA,pure,Melbourne,353,2,False,38,2,10,N/A,2,0.7185737524337061,0.1439388040699632,0.005522174062040937,1.0,1.5,2,8.47121820932864,1.0,4.0,1.1510599365916918
VST-NCA,N/A,Melbourne,1144,7,False,39,10,10,N/A,103,1.5320356747311907,0.06726043252560304,0.0008139397906479011,0.5714285714285714,0.7142857142857143,0,8.906211030805935,1.0,4.0,1.4203506902487184
VST-CA,mixed,Melbourne,1144,7,False,39,10,10,N/A,103,1.5284150955855262,0.06722146335393298,0.0006444704546631452,0.2857142857142857,0.7142857142857143,3,16.999056943034816,1.0,4.0,1.4224256147742602
VST-CA,pure,Melbourne,1144,7,False,39,10,10,N/A,103,1.5151191642365074,0.06675673436964395,0.0006444704546631452,0.2857142857142857,0.7142857142857143,4,24.638453118147254,1.0,4.0,1.4206499209932644
VST-NCA,N/A,Melbourne,408,1,False,40,1,10,N/A,1,0.6811620477743885,0.10539218456642041,0.01080021603012198,2.0,2.0,0,0.3516303753556258,1.0,4.0,0.6132740618373036
