Algorithm,Strategy,POIs dist,Net size,Cap,Merge cells,Sample,Num queries,Num users query,Prop POIs,Num POIs query,Cost,WARL,MWRL,MRL1,MRL2,Num it,Elapsed time,Alpha,Beta,Entropy
VST-NCA,N/A,zipfian,900,8,False,2,32,4,0.1,1,514.3540056693321,0.06909214669676324,0.0012906507008396064,1.25,1.5,0,5.261926925642911,0.15,4.0,1.8579311285856388
VST-NCA,N/A,uniform,900,8,False,2,32,4,0.1,1,512.4533011279526,0.06749991559415007,0.0008218873040755285,1.0,1.75,0,5.311922820341351,0.15,4.0,1.8695298464482695
VST-CA,mixed,zipfian,900,8,False,2,32,4,0.1,1,509.7084330959833,0.06893066461562447,0.0012906507008396064,1.25,1.5,4,10.651650330990378,0.15,4.0,1.8637880578264008
VST-CA,mixed,uniform,900,8,False,2,32,4,0.1,1,495.66178376717517,0.06731413620475868,0.0008052405865154874,1.125,1.5,4,11.061330117514444,0.15,4.0,1.8868836222698804
VST-CA,pure,zipfian,900,8,False,2,32,4,0.1,1,509.7084330959833,0.06893066461562447,0.0012906507008396064,1.25,1.5,4,16.175097757479307,0.15,4.0,1.8637880578264008
VST-CA,pure,uniform,900,8,False,2,32,4,0.1,1,492.32049235289935,0.06735077276327936,0.0007191513910660874,0.875,1.5,3,12.57363986247401,0.15,4.0,1.8896660418912858
VST-NCA,N/A,zipfian,900,8,False,3,32,4,0.1,1,535.4567792007667,0.0694666203803626,0.0010325205606716852,1.0,1.75,0,5.342106019397761,0.15,4.0,1.8739772532411763
VST-NCA,N/A,uniform,900,8,False,3,32,4,0.1,1,501.5815176597699,0.06701345371869949,0.0007191513910660874,0.875,1.75,0,5.0380859034212335,0.15,4.0,1.8637387733916955
VST-CA,mixed,zipfian,900,8,False,3,32,4,0.1,1,522.4628615245089,0.06938363880137166,0.0009034554905877246,0.875,1.625,3,9.855813619335095,0.15,4.0,1.87725851195413
VST-CA,mixed,uniform,900,8,False,3,32,4,0.1,1,494.2585259289221,0.06694265103053475,0.0007191513910660874,0.875,1.5,3,9.13957971981472,0.15,4.0,1.8705155978316537
