Hotspot, 0, 2500, 203, 40, 5, 6, 0.10332451459434822, 1257.6767557397397, 0
eVST-RS, 0, 2500, 203, 40, 10, 6, , , 0
Hotspot, 0, 2500, 203, 40, 10, 6, 0.07830953379108507, 921.3689077502826, 0
eVST-RS, 0, 2500, 203, 40, 15, 6, 0.04991074678218865, 313.388878613482, 0
Hotspot, 0, 2500, 203, 40, 15, 6, 0.024366010037738306, 320.32068141689376, 0
eVST-RS, 0, 2500, 205, 40, 5, 7, , , 0
Hotspot, 0, 2500, 205, 40, 5, 7, 0.13377995469835469, 1371.7906976097856, 0
eVST-RS, 0, 2500, 205, 40, 10, 7, 0.2640245187787116, 820.3962014541677, 0
Hotspot, 0, 2500, 205, 40, 10, 7, 0.08041710977474281, 822.4022165624353, 0
eVST-RS, 0, 2500, 205, 40, 15, 7, 0.09955622084268612, 456.2165984295069, 0
Hotspot, 0, 2500, 205, 40, 15, 7, 0.03947984440489449, 438.9879864831891, 0
eVST-RS, 0, 2500, 203, 40, 5, 8, , , 0
Hotspot, 0, 2500, 203, 40, 5, 8, 0.11332158554137095, 1212.671771573112, 0
eVST-RS, 0, 2500, 203, 40, 10, 8, 0.29148340348058355, 723.6659674637906, 0
Hotspot, 0, 2500, 203, 40, 10, 8, 0.051503567365443814, 689.5074181762259, 0
eVST-RS, 0, 2500, 203, 40, 15, 8, 0.04042764173340174, 321.0760559564688, 0
Hotspot, 0, 2500, 203, 40, 15, 8, 0.022702529012235573, 314.70481883249215, 0
eVST-RS, 0, 2500, 204, 40, 5, 9, , , 0
Hotspot, 0, 2500, 204, 40, 5, 9, 0.15896073095265706, 1216.4305482952507, 0
eVST-RS, 0, 2500, 204, 40, 10, 9, 0.5035073632917886, 898.9720025425545, 0
Hotspot, 0, 2500, 204, 40, 10, 9, 0.0763191988763765, 831.5570864012266, 0
eVST-RS, 0, 2500, 204, 40, 15, 9, 0.04964902682016259, 324.51891656133307, 0
Hotspot, 0, 2500, 204, 40, 15, 9, 0.03176127665653894, 335.5784019411483, 0
eVST-RS, 0, 2500, 204, 40, 5, 10, , , 0
Hotspot, 0, 2500, 204, 40, 5, 10, 0.15200048001730693, 1230.828267490486, 0
eVST-RS, 0, 2500, 204, 40, 10, 10, 0.36534922443254914, 763.8847217265414, 0
Hotspot, 0, 2500, 204, 40, 10, 10, 0.05674349312067761, 748.899882381514, 0
eVST-RS, 0, 2500, 204, 40, 15, 10, 0.2145764202551561, 360.8786742055904, 0
Hotspot, 0, 2500, 204, 40, 15, 10, 0.031755355390430395, 309.61251629476044, 0
eVST-RS, 0, 2500, 201, 50, 5, 1, , , 0
