['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 3, 16, 16, 0.25, 4, 1803.2626957560703, 0.073876802954883, 0.3333333333333333, '50(*)', 850.1930469436757, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 3, 16, 16, 0.25, 4, 1534.1156465907904, 0.0625321463002951, 0.3, '50(*)', 289.9982583233814, 0.22, 4.0]
	sample: 4
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 4, 16, 16, 0.25, 4, 1708.5996741079314, 0.07110417036513983, 0.5, 0, 17.239569312212552, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 4, 16, 16, 0.25, 4, 1565.544624888371, 0.06472223594614704, 0.45454545454545453, 0, 6.341389656779938, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 4, 16, 16, 0.25, 4, 1690.274003570155, 0.06893368916628768, 0.4, '50(*)', 837.547829652327, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 4, 16, 16, 0.25, 4, 1573.1203332898172, 0.06451966506886705, 0.3, '50(*)', 365.9117949070569, 0.22, 4.0]
(nq, nu, np): (32, 4, 1)
	sample: 0
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 0, 32, 4, 0.25, 1, 1492.3535509434805, 0.062047860787185015, 0.36363636363636365, 0, 3.8231443882759777, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 0, 32, 4, 0.25, 1, 1483.3431247900771, 0.061897798584304324, 0.36363636363636365, 0, 3.9030778001906583, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 0, 32, 4, 0.25, 1, 1492.1254485177187, 0.06100309965568313, 0.3, '50(*)', 152.87712096852374, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 0, 32, 4, 0.25, 1, 1483.099073202928, 0.06082603346935571, 0.2727272727272727, '50(*)', 164.99748755193832, 0.22, 4.0]
	sample: 1
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 1, 32, 4, 0.25, 1, 1512.630356321219, 0.0624596061862529, 0.5, 0, 5.179141241556863, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 1, 32, 4, 0.25, 1, 1408.7030297341514, 0.05888020066438976, 0.5, 0, 4.829921737447876, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 1, 32, 4, 0.25, 1, 1510.229174467436, 0.062090880351395934, 0.4, '50(*)', 178.28858565492737, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 1, 32, 4, 0.25, 1, 1405.128179678664, 0.05798716165422414, 0.3, '50(*)', 151.9663210853214, 0.22, 4.0]
	sample: 2
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 2, 32, 4, 0.25, 1, 1454.3685326275283, 0.06109499485860635, 0.6, 0, 5.060156607209137, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 2, 32, 4, 0.25, 1, 1449.4023983192271, 0.060313284114060714, 0.4, 0, 5.257922601615064, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 2, 32, 4, 0.25, 1, 1453.208548446383, 0.059532851536227734, 0.36363636363636365, '50(*)', 171.4741229652427, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 2, 32, 4, 0.25, 1, 1446.1293218709723, 0.059497358872025216, 0.3, '50(*)', 179.8492644059079, 0.22, 4.0]
	sample: 3
['VST-NCA', 'N/A', 'zipfian', 900, '(16, 64)', False, 3, 32, 4, 0.25, 1, 1459.874822374157, 0.06085305820286333, 0.6, 0, 5.172423932504898, 0.22, 4.0]
['VST-NCA', 'N/A', 'uniform', 900, '(16, 64)', False, 3, 32, 4, 0.25, 1, 1422.2556637722992, 0.05926564133607474, 0.36363636363636365, 0, 5.158656784507912, 0.22, 4.0]
['VST-CA', 'pure', 'zipfian', 900, '(16, 64)', False, 3, 32, 4, 0.25, 1, 1458.1645782751536, 0.06022634779300464, 0.3076923076923077, '50(*)', 178.76876446158712, 0.22, 4.0]
['VST-CA', 'pure', 'uniform', 900, '(16, 64)', False, 3, 32, 4, 0.25, 1, 1421.1164218699168, 0.05823206925701053, 0.3, '50(*)', 181.74644082687155, 0.22, 4.0]
	sample: 4
