Gravitation 2,0,3600,336,6,8.649938299920024,6,2.1016717050459874,794.0,24,0,0,815,1031,2973,2632,3369,1016
Gravitation 3,0,3600,336,6,8.649938299920024,6,1.2967931748579389,813.0,25,0,0,815,1031,2973,2632,3369,1016
Spiders,0,3600,336,6,8.649938299920024,7,0.5526207335954041,310.0,9,0,0,1288,1156,829,3028,1231,1517
Dreyfus,0,3600,336,6,19.289944189652537,7,0.8915353648436621,277.0,8,0,0,1288,1156,829,3028,1231,1517
Gravitation 2,0,3600,336,6,8.649938299920024,7,0.8358643656181783,375.0,11,1,0,1288,1156,829,3028,1231,1517
Gravitation 3,0,3600,336,6,8.649938299920024,7,0.8362982004735358,373.0,11,1,0,1288,1156,829,3028,1231,1517
Spiders,0,3600,336,6,8.649938299920024,8,0.652099184358903,387.0,12,0,0,1848,2055,2218,1730,2565,782
Dreyfus,0,3600,336,6,19.289944189652537,8,0.9349516149788712,321.0,2,0,0,1848,2055,2218,1730,2565,782
Gravitation 2,0,3600,336,6,8.649938299920024,8,0.9568277079545311,423.0,15,0,0,1848,2055,2218,1730,2565,782
Gravitation 3,0,3600,336,6,8.649938299920024,8,0.9607776183848102,423.0,15,0,0,1848,2055,2218,1730,2565,782
Spiders,0,3600,336,6,8.649938299920024,9,0.7002023509980688,396.0,13,1,0,2179,2279,2667,3505,1709,3522
Dreyfus,0,3600,336,6,19.289944189652537,9,0.9326415134559909,340.0,5,2,0,2179,2279,2667,3505,1709,3522
Gravitation 2,0,3600,336,6,8.649938299920024,9,0.9680904397640546,534.0,17,0,0,2179,2279,2667,3505,1709,3522
Gravitation 3,0,3600,336,6,8.649938299920024,9,1.8068649332746958,534.0,17,0,0,2179,2279,2667,3505,1709,3522
Spiders,0,3600,336,6,8.649938299920024,10,0.8232713121866198,514.0,17,2,0,1789,3336,2049,1883,373,2805
