Algorithm,Strategy,POIs dist,Net size,Min cap,Max cap,Merge cells,Sample,Num queries,Num users,Prop POIs,Num POIs,Cost,WARL,MRL,Num it,Elapsed time,Alpha,Beta
VST-NCA,N/A,uniform,10000,16,64,FALSE,6,32,8,0.25,2,7126.024802668951,0.010548477418152348,0.2222222222222222,0,336.08512868247635,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,6,32,8,0.25,2,7127.00792006152,0.010278526723895022,0.16666666666666666,15,1096.5329549994349,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,7,32,8,0.25,2,7091.015254996316,0.010485785066548582,0.1875,0,297.93137329210003,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,7,32,8,0.25,2,7102.005342616758,0.010141799716374567,0.17647058823529413,13,1143.1783711746248,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,8,32,8,0.25,2,7180.031186198133,0.01066586958344239,0.25,0,421.052712524659,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,8,32,8,0.25,2,7180.005619573828,0.01029557885115654,0.125,24,1776.7041953061998,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,9,32,8,0.25,2,7273.031263105349,0.010754363537980642,0.23529411764705882,0,432.14820591406897,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,9,32,8,0.25,2,7273.005657165914,0.010423256699360433,0.14285714285714285,22,1554.9391444537614,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,0,32,12,0.25,3,9311.044915889774,0.0138712412456687,0.25,0,822.736418428467,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,0,32,12,0.25,3,9244.010968728011,0.01324449312220007,0.125,12,3057.174884691849,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,1,32,12,0.25,3,8601.03976863008,0.012759453298811287,0.25,0,321.0083163193631,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,1,32,12,0.25,3,8616.008681484807,0.012250843964470947,0.17647058823529413,9,1113.07484016339,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,2,32,12,0.25,3,9121.067916345983,0.013585716836783477,0.3125,0,677.5995234508591,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,2,32,12,0.25,3,9121.00999853708,0.013024585932626504,0.1875,18,2627.1020013326925,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,3,32,12,0.25,3,8693.060744840532,0.01290159792207803,0.3125,0,368.63094521894527,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,3,32,12,0.25,3,8726.00872948651,0.012475887743487325,0.1875,13,1613.007072444001,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,4,32,12,0.25,3,9038.031081875039,0.01339764625114465,0.25,0,667.547627281092,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,4,32,12,0.25,3,9060.009363303654,0.013052135534798419,0.1875,14,1758.3140009600465,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,5,32,12,0.25,3,8546.035729952855,0.012679803236892587,0.23529411764705882,0,808.9021554453357,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,5,32,12,0.25,3,8552.011527312745,0.01230966354705805,0.23529411764705882,11,1916.9368651340628,0.15,4.0
VST-NCA,N/A,uniform,10000,16,64,FALSE,6,32,12,0.25,3,8745.043561658076,0.012912090706662856,0.25,0,637.2094285831554,0.15,4.0
VST-CA,mixed,uniform,10000,16,64,FALSE,6,32,12,0.25,3,8745.013607882034,0.012469225896730178,0.19047619047619047,15,2248.088798726676,0.15,4.0
